QUARTER,Commodity_-_USD_Unhedged,Global_Property_USD_Unhedged,Hedge_Fund_DJ_-_USD_Unhedged,Infrastructure_Debt_-_USD_Unhedged,Infrastructure_Equity_USD_Unhedged,Nature_Capital_-_USD_Hedged,Private_Equity_USD_Unhedged,UK_Property_Direct_-_USD_Unhedged
2016-01-31,-0.002679311540176199,0.01949439956632637,-0.011259267380923421,0.010706329416373395,0.004792653932996771,-0.022723120404074093,0.003603201823877411,-0.022336816221525613
2016-02-29,0.012098008810053518,0.01688579553707803,-0.0123612451239421,0.012761850264455976,0.0025039738775545217,-0.015610417277030497,-0.0021033692144913907,-0.02407591093315664
2016-03-31,-0.005173204116604713,0.01699340085255252,0.0014987449772756456,0.0042066916126977105,0.003954420986649776,-0.008041284083586175,0.0048771069197335315,-0.025456594271790367
2016-04-30,0.060911548625379286,0.011057101427790483,0.0035071464400381336,0.013766219747415986,-0.006403223240560418,0.03340814536577297,-0.02243699370796437,-0.04815087809532459
2016-05-31,0.0692200523194948,0.01054934182150502,0.0074013847560514545,0.015674704745455292,-0.007586518574585699,0.04681059053796521,-0.025385844929251666,-0.05592161571605736
2016-06-30,-0.0057625432108279195,0.01538104154537745,-0.004931504293368083,0.010557060603541224,0.0073618320120489855,-0.008170504699448133,0.01418027919108944,-0.012669165448427111
2016-07-31,-0.029814639761143402,0.00953573317861367,0.006959933961949716,0.011390492893970317,0.016718926735911355,0.014692827815215637,0.046011562977111176,0.015456176071038774
2016-08-31,-0.04769947679463504,0.005116557432685687,0.007240145825621269,0.007810984902126172,0.017841033596668554,0.010816289550072966,0.05779732693813355,0.03247078127078573
2016-09-30,0.04053656974620057,-0.00014258807639133675,0.0031323543281889243,0.005272405171157679,-0.01230824751700188,0.028983651560032797,-0.01225393883864001,-0.03797036207461435
2016-10-31,0.018521887572248708,-0.02808686481382061,0.002672865071630781,-0.014075497429363093,-0.03299714238109064,0.028815239777740587,-0.0009758310783554158,-0.02424810047436865
2016-11-30,0.028094408554856676,-0.03305573419849528,0.0018042044792516698,-0.0176716900256495,-0.04008927446256916,0.0280376592816034,-0.009752943998787789,-0.03087178554128356
2016-12-31,-0.019649154215770626,0.006675964752208552,0.006984813880481999,0.008556785084556262,0.012681243153373156,0.015127369321823902,0.034499146966112226,0.011542320008430806
2017-01-31,-0.012152654982722666,0.014010509353820866,0.009019954519842166,0.011840662964601956,0.021193531331730187,0.012045040122673933,0.027237778334852525,0.01224374060088973
2017-02-28,-0.01717414550237939,0.021729663050465753,0.008182861697288546,0.015282710689908718,0.030466672514832815,0.005230450710882462,0.028679456586731433,0.019994241762326448
2017-03-31,0.0060324070862920465,-0.012623646896647522,0.003405832873218273,-0.005790385287999689,-0.012926706380519404,0.018390725171723465,0.014204825354027895,-0.006285622397604218
2017-04-30,-0.012593579559144086,0.010042094070205954,0.0006388632477567491,0.003732045904567771,0.015663396292516785,-0.003819147614346763,0.03202229879155882,0.02371717854440103
2017-05-31,-0.01238846568886276,0.009841354669831937,-0.0004914763830983215,0.002449426502444174,0.015953646448951808,-0.006589896856149524,0.035245198620327045,0.02684748332175957
2017-06-30,-0.005312370173130354,0.0098754508414165,0.007434388570587203,0.007942554472363916,0.01649366476995051,0.010041666489323697,0.023927574443383115,0.010298638885890776
2017-07-31,0.009900553578131799,0.0030075555366460005,0.006490406872255994,0.0020395022832295773,0.010022484735492831,0.008394402174791038,0.020003969340964822,0.005596512858206726
2017-08-31,0.017100090271914725,0.0025057147465106233,0.008014409503478204,0.0009579591900439333,0.009208531933544206,0.011516591010767963,0.014431208751795932,0.0027674614457209312
2017-09-30,-0.0019156617137405796,0.012804301027401266,0.0034471842730514624,0.001919040962536478,0.017519204999318694,0.0009569763730683523,0.021922035394426054,0.02366635589459487
2017-10-31,0.0207906378561018,0.021870338249534882,0.009362039049960691,-0.0025296899927040872,0.024624185890902206,0.009995273834132012,0.0037469558692586613,0.030335390363670722
2017-11-30,0.01918065841869665,0.02044959694240389,0.008509446953062216,-0.0030153877935640283,0.021423048256798305,0.00891593279661329,-0.001665837356032096,0.031109640655292425
2017-12-31,0.0064551784446729155,-0.00427888080485872,0.004992870499336721,0.002003105174284814,-0.000264805212454311,0.007122040863042134,0.009201655020398603,0.007009965066695489
2018-01-31,-0.0061007412590807775,-0.02863124703573572,0.000630166800867471,0.0038190394800388106,-0.029702374127936304,0.003669414798148418,-0.009193321316448455,0.0019555870499525785
2018-02-28,-0.010272775842407267,-0.03142907493083913,-0.0015521215816516332,0.004747144727225816,-0.03495796407784879,0.002127009730786611,-0.009486994596027198,-0.005140811318675276
2018-03-31,0.012507229452421775,0.01712806128439537,0.005605468918868706,0.00079852484185583,0.010179457241529022,0.010094379149707233,0.002164697643329161,0.01596997023348501
2018-04-30,0.0030296317900985192,0.028765152582822973,-0.0008031692320202843,0.005660858892970078,0.0015513048613848834,0.010816719290964505,0.00535507718605388,-0.00897625352074416
2018-05-31,0.004812081346903918,0.04161612793832581,-0.0005923157381415578,0.006178162816078192,0.011526450714003045,0.013912288998290556,0.012320543811389362,-0.012848621276251415
2018-06-30,-0.0038209398030127906,-0.015929086502216694,0.002366138085217351,0.00257605481975709,-0.0101111693193906,0.007652259487483493,0.006636568585106639,-0.0022977867501647875
2018-07-31,-0.0017065779895715227,0.0010449879747735924,0.0068409769662549635,-0.0002334047254783922,0.03066551078699975,0.016648375224956213,0.042971305517373715,-0.012963854679401532
2018-08-31,-0.007038316153107349,-0.00951849877561961,0.005913648904182001,-0.0011008751117522753,0.034093096391855315,0.014192698788781044,0.036463063675214125,-0.01635479164009046
2018-09-30,-0.011603632913021134,0.007002524737028004,-0.006823072805616115,0.00612611762744808,0.0027796146590512993,0.0025651292523440894,-0.02309447487429761,-0.018879796852928954
2018-10-31,-0.04891275426014574,-0.037500624831935836,-0.023992070221160122,0.00902963220811892,0.0018034037196119623,-0.01774676677981124,-0.10469933087764138,-0.04667461924133598
2018-11-30,-0.05278830940763479,-0.03687870929753467,-0.027111487718324168,0.010198181342865542,-0.004146250962784315,-0.024077583501357025,-0.1312825952546698,-0.0451960210020359
2018-12-31,0.005563114853620821,0.019884080595301556,0.007876633441995962,0.0017591736817814674,0.023001010270769395,0.007619096032824624,0.038222974266437504,0.005980412043205874
